id,wiki_id,name,instance_of,ar,de,es,fr,it,ja
11,Q1352126,Melitius of Lycopolis,human,,Meletios von Lykopolis,Melicio de Licòpolis,Mélitios de Lycopolis,Melezio di Licopoli,リコポリスのメレティオス
12,Q49575,Dizzy Gillespie,human,ديزي غيليسبي,Dizzy Gillespie,Dizzy Gillespie,Dizzy Gillespie,Dizzy Gillespie,ディジー・ガレスピー
13,Q12204253,Al-Sayeda Nafeesah Mosque,mosque,جامع السيدة نفيسة,Saiyida-Nafisa-Moschee,Al-Sayyida Nafisa,Al-Sayyida Nafisa,,
14,Q28102177,My Knight and Me,television series,,Ritter Hoch 3,Mi Caballero y Yo,Mon chevalier et moi,L'apprendista cavaliere,私の騎士と私
15,Q193066,Breakfast at Tiffany's,film,الإفطار عند تيفاني,Frühstück bei Tiffany,Breakfast at Tiffany's,Diamants sur canapé,Colazione da Tiffany,ティファニーで朝食を
16,Q1020994,citizen,role,مواطن,Bürger,ciudadano,citoyen,cittadino,公民
17,Q51403,Man in Black,fictional human,,Mann in Schwarz,Hombre de Negro,L'homme en noir,Uomo in nero,黒服の男
18,Q271815,"Eleanor, Countess of Vermandois",human,,Eleonore von Vermandois,Eleonor de Vermandois,Éléonore de Vermandois,Eleonora di Vermandois,エレオノール (ヴェルマンドワ女伯)
19,Q11621,E.T. the Extra-Terrestrial,film,إي تي,E.T. – Der Außerirdische,"E.T., el extraterrestre","E.T., l'extra-terrestre",E.T. l'extra-terrestre,E.T.
20,Q93535,"Marie Christine, Princess Michael of Kent",human,مايكل أميرة كينت,Marie Christine von Reibnitz,María Cristina de Reibnitz,Marie-Christine von Reibnitz,Marie Christine von Reibnitz,マリー＝クリスティーヌ
21,Q176609,Arctic Circle,polar circle,الدائرة القطبية الشمالية,nördlicher Polarkreis,círculo polar ártico,Cercle Arctique,Circolo polare artico,北極圏
22,Q127552,Pixar,animation studio,بيكسار,Pixar,Pixar,Pixar Animation Studios,Pixar Animation Studios,ピクサー・アニメーション・スタジオ
23,Q2570624,Radisson Royal Hotel,hotel,فندق أوكرانيا,,Hotel Ucrania,hôtel Ukraine,Hotel Ucraina,ホテル・ウクライナ
24,Q6661985,data processing,information processing,معالجة البيانات,Datenverarbeitung,procesamiento de datos,traitement de données,elaborazione dati,データ処理
25,Q3203583,Man a Machine,literary work,,,El hombre máquina,L'Homme Machine,L'Homme Machine,人間機械論
26,Q14906755,Cloak of Invisibility,magical object in Harry Potter,,Tarnumhang,Capa de Invisibilidad,Cape d'invisibilité,Mantello dell'invisibilità,
27,Q1492,Barcelona,municipality of Catalonia,برشلونة,Barcelona,Barcelona,Barcelone,Barcellona,バルセロナ
28,Q298310,David Bisbal,human,دافيد بيسبال,David Bisbal,David Bisbal,David Bisbal,David Bisbal,ダビッド・ビスバル
29,Q844473,Dark Eyes,musical work/composition,العيون السوداء,Schwarze Augen,Ojos Negros,Les Yeux noirs,Occhi neri,黒い瞳
30,Q83468,Judas Priest,heavy metal band,جوداس بريست,Judas Priest,Judas Priest,Judas Priest,Judas Priest,ジューダス・プリースト
31,Q200686,French Fifth Republic,republic regime in France,الجمهورية الفرنسية الخامسة,Fünfte Französische Republik,Quinta República Francesa,Cinquième République,Quinta Repubblica francese,フランス第五共和政
32,Q2599,Paul McCartney,human,بول مكارتني,Paul McCartney,Paul McCartney,Paul McCartney,Paul McCartney,ポール・マッカートニー
33,Q228624,Suzanne Collins,human,سوزان كولنز,Suzanne Collins,Suzanne Collins,Suzanne Collins,Suzanne Collins,スーザン・コリンズ
34,Q1198412,Too Late for Tears,film,,Der blonde Tiger,Demasiado tarde para lágrimas,La Tigresse,È tardi per piangere,トゥー・レイト・フォー・ティアーズ
35,Q1064807,Super Bowl XXIV,Super Bowl,سوبر بول XXIV,Super Bowl XXIV,Super Bowl XXIV,Super Bowl XXIV,Super Bowl XXIV,第24回スーパーボウル
36,Q1076874,fried rice,dish,الأرز المقلي,gebratener Reis,arroz frito,riz frit,riso fritto,チャーハン
37,Q2585559,The Kingkiller Chronicle,literary trilogy,,The Kingkiller Chronicle,Crónica del asesino de reyes,Chronique du tueur de roi,Le Cronache dell'Assassino del Re,キングキラー・クロニクル
38,Q175565,String Quartet No. 13,musical work/composition,,13. Streichquartett,Cuarteto de cuerda n.º 13 Op. 130,Quatuor à cordes nº 13 de Beethoven,Quartetto n. 13,弦楽四重奏曲第13番 (ベートーヴェン)
39,Q1437026,Two Half Times in Hell,film,,Zwei Halbzeiten in der Hölle,Match en el infierno,Deux Mi-temps en enfer,Due tempi all'inferno,地獄のハーフタイム
40,Q571251,association football goal,product category,مرمى ملعب كرة قدم,Tor,portería,but,porta,サッカーのゴール
41,Q628443,The Steam House,literary work,بيت البخار,Das Dampfhaus,La casa de vapor,La Maison à vapeur,La casa a vapore,蒸気の家
42,Q1016744,Bornay Mosque,mosque,مسجد بورناي,Burnajewskaja-Moschee,,,,
43,Q941517,Imagination Movers,television series,محركو الخيال,Die Ideen-Meister,Los Imaginadores,,,あそぼう!イマジネーションムーバーズ
44,Q107351551,Sāmī ʻĀmirī,human,سامي عامري,Sami Ameri,,Sami Ameri,,
45,Q13979,Saturday Night Live,television series,ساترداي نايت لايف,Saturday Night Live,Saturday Night Live,Saturday Night Live,Saturday Night Live,サタデー・ナイト・ライブ
46,Q15615,Lil Wayne,human,ليل وين,Lil Wayne,Lil Wayne,Lil Wayne,Lil Wayne,リル・ウェイン
47,Q13695,Tenochtitlan,altepetl,تينوتشتيتلان,Tenochtitlan,México-Tenochtitlan,Mexico-Tenochtitlan,Tenochtitlán,テノチティトラン
48,Q47464862,The Heroic Quest of the Valiant Prince Ivandoe,animated television series,السعي البطولي للأمير الشجاع آيفاندو,Die heldenhafte Reise des tapferen Prinz Ivandoe,El valiente príncipe Ivandoe,La Quête héroïque du valeureux Prince Ivandoe,Il principe Ivandoe,
49,Q177220,singer,musical profession,مغني,Sänger,cantante,chanteur ou chanteuse,cantante,歌手
50,Q930887,Vegas Vacation,film,عطلة فيغاس,Die schrillen Vier in Las Vegas,Vacaciones en Las Vegas,Bonjour les vacances : Viva Las Vegas,Las Vegas - Una vacanza al casinò,ベガス・バケーション
51,Q2344561,Putra Mosque,mosque,مسجد بوترا,Putra-Moschee,Mezquita Putra,mosquée Putra,,プトラ・モスク
52,Q498384,Back from Eternity,film,,Zurück aus der Ewigkeit,Regreso de la eternidad,Les Échappés du néant,Ritorno dall'eternità,地獄の罠
53,Q738056,The Iron Mask,film,القناع الحديدي,Die eiserne Maske,La máscara de hierro,Le Masque de fer,La maschera di ferro,鉄仮面
54,Q5694782,Heaven and Hell,literary work,,Himmel und Hölle,"De caelo et ejus mirabilibus et de inferno, ex auditis et visis",,Cielo e inferno,
55,Q4645817,92 in the Shade,film,,33 Grad im Schatten,Venganza anunciada,Trente-sept degrés à l'ombre,Novantadue gradi all'ombra,
56,Q5917807,How I Live Now,literary work,,So lebe ich jetzt,,"Maintenant, c'est ma vie",,
57,Q1233716,Big Deal on Madonna Street,film,,Diebe haben’s schwer,Los desconocidos de siempre,Le Pigeon,I soliti ignoti,いつもの見知らぬ男たち
58,Q2562710,Waves of the Danube,musical work/composition,,Donauwellen,Olas del Danubio,Les Flots du Danube,Le onde del Danubio,ドナウ川のさざなみ
59,Q500538,High School Girls,manga series,هاي سكول غيرلز,Joshi Kōsei,Joshikōsei,,,女子高生
60,Q81329957,My Roomie Is a Dino,manga,,,Gal to Kyōryū,,,ギャルと恐竜
61,Q16165135,Pig Goat Banana Cricket,television series,بيغ غوت بانانا كريكيت,Schwein Ziege Banane Grille,Cerdo Cabra Banana Grillo,Cochon Chèvre Banane Criquet,Maiale Capra Banana Grillo,
62,Q216868,Chesapeake Bay,estuary,خليج تشيزبيك,Chesapeake Bay,bahía de Chesapeake,baie de Chesapeake,baia di Chesapeake,チェサピーク湾
63,Q478016,To the Lighthouse,literary work,إلى المنارة,Die Fahrt zum Leuchtturm,Al faro,La Promenade au phare,Gita al faro,灯台へ
64,Q7741197,The Hydrogen Sonata,literary work,,Die Wasserstoffsonate,La sonata del hidrógeno,La Sonate Hydrogène,,水素ソナタ
65,Q44555,Crazy Horse,human,الجواد الجامح,Crazy Horse,Caballo Loco,Crazy Horse,Cavallo Pazzo,クレイジー・ホース
66,Q1339305,Romford,town,رومفورد,,Romford,Romford,Romford,ロムフォード
67,Q1751487,Platov South-Russian State Polytechnic University,university,جامعة جنوب روسيا التقنية,Südrussische Staatliche Technische Universität,Universidad Técnica Estatal del Sur de Rusia,université technique d'État de Novotcherkassk,,
68,Q334051,Abbey of Monte Cassino,benedictine abbey,,Abtei Montecassino,abadía de Montecasino,abbaye du Mont-Cassin,abbazia di Montecassino,モンテ・カッシーノ修道院
69,Q131097,Epistle of James,religious text,رسالة يعقوب,Jakobus,Epístola de Santiago,Épître de Jacques,Lettera di Giacomo,ヤコブの手紙
70,Q7467,Priory Palace,palace,,Prioren Palast,Palacio del Priorato,palais du Prieuré,Palazzo del Priorato,
71,Q3213985,The Truth About the Harry Quebert Affair,literary work,,Die Wahrheit über den Fall Harry Quebert,La verdad sobre el caso Harry Quebert,La Vérité sur l'affaire Harry Quebert,La verità sul caso Harry Quebert,
72,Q4965928,Brick Lane Mosque,mosque,مسجد بريك لين,Brick-Lane-Moschee,,,,
73,Q517,Napoleon,human,نابليون بونابرت,Napoleon Bonaparte,Napoleón Bonaparte,Napoléon Ier,Napoleone Bonaparte,ナポレオン・ボナパルト
74,Q474,aqueduct,hydraulic structure,قناة مائية,Aquädukt,acueducto,aqueduc,acquedotto,用水路
75,Q1321004,You Will Meet a Tall Dark Stranger,film,,Ich sehe den Mann deiner Träume,Conocerás al hombre de tus sueños,Vous allez rencontrer un bel et sombre inconnu,Incontrerai l'uomo dei tuoi sogni,恋のロンドン狂騒曲
76,Q517453,Horus Bird,human,حورس با,Vogel,Horus Bird,Horus Oiseau,Ba,
77,Q1699208,Ras Cory,musical group,,Midnite,Midnite,Midnite,Midnite,ミッドナイト
78,Q2378785,Beatrice of Bohemia,human,,Beatrice von Böhmen,Beatriz de Bohemia,Béatrice de Bohême,,ベアトリクス・フォン・ベーメン
79,Q1211934,Hispanic,culture,هيسبانو,Hispanics,hispanos,hispanique,ispanica,ヒスパニック
80,Q212464,New Kids on the Block,musical group,نيو كيدز أون دا بلوك,New Kids on the Block,New Kids on the Block,New Kids on the Block,New Kids on the Block,ニュー・キッズ・オン・ザ・ブロック
81,Q242287,Joan of England,human,,Johanna von England,"Juana de Inglaterra, reina de Escocia",Jeanne d'Angleterre,Giovanna Plantageneto,ジョーン・オブ・イングランド
82,Q2115452,Prelude in C-sharp minor,musical work/composition,,Prélude cis-Moll,Preludio en do sostenido menor (Rajmáninov),,Preludio in Do diesis minore,前奏曲嬰ハ短調 (ラフマニノフ)
83,Q2388422,Kudrinskaya Square Building,revenue house,,,Edificio de la plaza Kudrinskaya,immeuble d'habitation de la place Koudrine,Edificio residenziale in piazza Kudrinskaja,
84,Q182865,War in Afghanistan,military campaign,حرب أفغانستان,Krieg in Afghanistan 2001–2021,guerra de Afganistán,guerre d'Afghanistan,guerra in Afghanistan,アフガニスタン紛争
85,Q180402,Yosemite National Park,National Park of the United States,متنزه يوسيميتي الوطني,Yosemite-Nationalpark,Parque nacional de Yosemite,parc national de Yosemite,parco nazionale di Yosemite,ヨセミテ国立公園
86,Q11872,The Steadfast Tin Soldier,literary work,,Der standhafte Zinnsoldat,El soldadito de plomo,Le Stoïque Soldat de plomb,Il soldatino di stagno,しっかり者のスズの兵隊
87,Q5043,Christianity,major religion,المسيحية,Christentum,cristianismo,christianisme,cristianesimo,キリスト教
88,Q1680069,Surviving Picasso,film,,Mein Mann Picasso,Sobrevivir a Picasso,Surviving Picasso,Surviving Picasso,サバイビング・ピカソ
89,Q1617364,Dr. Terror's House of Horrors,film,,Die Todeskarten des Dr. Schreck,Doctor Terror,Le Train des épouvantes,Le cinque chiavi del terrore,テラー博士の恐怖
90,Q12170857,Klim Churyumov,human,كليم تشوريوموف,Klym Tschurjumow,Klim Churyumov,Klym Tchourioumov,Klym Čurjumov,クリム・チュリュモフ
91,Q707502,The Rape of Nanking,written work,اغتصاب نانكينغ (كتاب),,,Le viol de Nankin,Lo stupro di Nanchino,ザ・レイプ・オブ・南京
92,Q272076,Dean Koontz,human,دين كونتز,Dean Koontz,Dean Koontz,Dean Koontz,Dean Koontz,ディーン・R・クーンツ
93,Q2024169,"Princess Désirée, Baroness Silfverschiöld",human,,Désirée Silfverschiöld,Désirée Bernadotte,Désirée de Suède,Desirée di Svezia,
94,Q12379,Mario,fictional human,ماريو,Mario,Mario,Mario,Mario,マリオ
95,Q12603,Pacific Northwest,geographic region,إقليم الشمال الغربي الهادئ,Pazifischer Nordwesten,Noroeste Pacífico,Nord-Ouest Pacifique,Pacifico nordoccidentale,太平洋岸北西部
96,Q724,Maine,U.S. state,مين,Maine,Maine,Maine,Maine,メイン州
97,Q2704285,Friday I'm in Love,single,,Friday I'm in Love,Friday I'm in Love,Friday I'm in Love,Friday I'm in Love,
98,Q2638238,Vyborg railway station,railway station,,Wyborg,,Vyborg,,
99,Q1093846,La Seine no Hoshi,anime television series,,Nadine – Stern der Seine,,La Tulipe noire,Il Tulipano Nero,ラ・セーヌの星
100,Q152095,bathtub,physical container,حوض استحمام,Badewanne,bañera,baignoire,vasca da bagno,浴槽
101,Q804208,Bajrakli Mosque,mosque,مسجد بجراكلي (بلغراد),Bajrakli-Moschee (Belgrad),Mezquita Bajrakli,mosquée Bajrakli de Belgrade,,バイラクリ・モスク
102,Q1306291,A Memory of Solferino,literary work,,Eine Erinnerung an Solferino,Un recuerdo de Solferino,Un souvenir de Solférino,Un Souvenir de Solférino,ソルフェリーノの思い出
103,Q2594210,Seal of Solomon,seal,خاتم سليمان,,Sello de Salomón (leyenda),Sceau de Salomon,,ソロモンの指輪
104,Q2495862,congress,meeting,كونغرس,Kongress,congreso,congrès,congresso,代表大会
105,Q308966,San Francisco Giants,baseball team,سان فرانسيسكو جاينتس,San Francisco Giants,San Francisco Gigantes,Giants de San Francisco,San Francisco Giants,サンフランシスコ・ジャイアンツ
106,Q93332,Appalachian Mountains,mountain range,جبال الأبالاش,Appalachen,Apalaches,Appalaches,Appalachi,アパラチア山脈
107,Q7347,Great Lakes,group of interconnected lakes,البحيرات العظمى,Große Seen,Grandes Lagos,Grands Lacs,Grandi Laghi,五大湖
108,Q17071479,Who Fears Death,literary work,من يخاف الموت,,,Qui a peur de la mort ?,,
109,Q2180182,Conan the Warrior,collection of literary works,,,Conan the Warrior,Conan le guerrier,Conan il guerriero,
110,Q7860088,Tyler Moon,fictional human,,,Tony Discipline,,,
111,Q235539,Mount Whitney,mountain,جبل ويتني,Mount Whitney,Monte Whitney,mont Whitney,Monte Whitney,ホイットニー山
112,Q728404,The Pelican Brief,film,قضية البجع,Die Akte,El informe Pelícano,L'Affaire Pélican,Il rapporto Pelican,ペリカン文書
113,Q4189105,Memorial to Defenders of the Soviet Arctic during the Great Patriotic War,monumental sculpture,نصب أليوشا التذكاري,Aljoscha-Monument,,monument aux défenseurs de l'Arctique soviétique pendant la Grande Guerre patriotique,Monumento ai difensori dell'Artico sovietico durante la grande guerra patriottica,ソビエト極北防衛隊慰霊碑
114,Q93352,coast,place type,ساحل,Küste,costa,côte,costa,海岸
115,Q1637730,The Dark Tower III: The Waste Lands,literary work,برج الظلام 3: الأراضي اليباب (رواية),Tot,Las tierras baldías,Terres perdues,Terre desolate,
116,Q1010828,Aremberg Castle,castle,,Burg Aremberg,castillo de Aremberg,,,
117,Q60063045,The Light in Your Eyes,television series,النور في عينيك,Radiant,Radiant (La luz en tus ojos),,Nun-i busige,眩しくて
118,Q1002362,The Signal-Man,literary work,عامل الإشارة,,El guardavía,,Il segnalatore,The Signal-Man
119,Q1912490,"Prince Max, Duke in Bavaria",human,,"Prinz Max Emanuel, Herzog in Bayern",Max Emanuel de Baviera,Max Emmanuel von Wittelsbach,Max in Baviera,マックス・エマヌエル・イン・バイエルン
120,Q846224,fighting game,video game genre,لعبة قتال,Kampfspiel,videojuego de lucha,jeu vidéo de combat,picchiaduro,対戦格闘ゲーム
121,Q3772,Quentin Tarantino,human,كوينتن تارانتينو,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,クエンティン・タランティーノ
122,Q311441,Al-Rifa'i Mosque,mosque,مسجد الرفاعي,Ar-Rifa'i-Moschee,Mezquita de Al Rifa'i,mosquée Al-Rifa'i,moschea di al-Rifa'i,アッ＝リファーイー・モスク
123,Q51724,Jedi,fictional group of characters,جيدي,Jedi,Jedi,Jedi,Jedi,ジェダイ
124,Q3227112,The Promise,television series,الوعد,Gelobtes Land,La promesa,Le Serment,,
125,Q96377121,The Hunger Games: The Ballad of Songbirds and Snakes,prequel,مباريات الجوع: أغنية الطيور المغردة والثعابين,Die Tribute von Panem – The Ballad of Songbirds and Snakes,Los juegos del hambre: balada de pájaros cantores y serpientes,Hunger Games : La Ballade du serpent et de l'oiseau chanteur,Hunger Games - La ballata dell'usignolo e del serpente,ハンガー・ゲーム0
126,Q246546,Symphony No. 6,musical work/composition,,6. Sinfonie,Sinfonía n.º 6,Symphonie nº 6 de Sibelius,Sinfonia n. 6,交響曲第6番 (シベリウス)
127,Q963659,Dombey and Son,literary work,دومبي وابنه,Dombey und Sohn,Dombey e hijo,Dombey et Fils,Dombey e Figlio,ドンビー父子
128,Q27204,Live and Let Die,film,عش ودعهم يموتون,James Bond 007 – Leben und sterben lassen,Vive y deja morir,Vivre et laisser mourir,Agente 007 - Vivi e lascia morire,007 死ぬのは奴らだ
129,Q727016,Boys Town,film,مدينة الصبيان,Teufelskerle,Forja de hombres,Des hommes sont nés,La città dei ragazzi,少年の町
130,Q2296177,Andrey of Gorodets,human,,Andrei Alexandrowitsch von Gorodez,Andréi III de Vladímir,André III de Vladimir,Andrea III di Vladimir,アンドレイ・アレクサンドロヴィチ
131,Q14601067,Gypsy sauce,condiment,,Zigeunersauce,Salsa zíngara,,,
132,Q76907,"Henry IV, Count of Luxembourg",human,هنري الرابع، كونت لوكسمبورغ,Heinrich IV.,Enrique IV de Luxemburgo,Henri IV de Luxembourg,Enrico IV di Lussemburgo,ハインリヒ4世
133,Q5361036,SPEC〜Keishichyō Kōanbu Kōandaigoka Mishōjiken Tokubetsugakari Jikenbo〜,television program,,,,Keizoku 2: SPEC,,SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜
134,Q111490,"Geoffrey Plantagenet, Count of Anjou",human,جيفري الخامس كونت أنجو,Gottfried V.,Godofredo V de Anjou,Geoffroy V d'Anjou,Goffredo V d'Angiò,ジョフロワ4世
135,Q20182063,Maggi seasoning,sauce,,Maggi-Würze,,,,マギーソース
136,Q51582,William Friedkin,human,وليم فريدكن,William Friedkin,William Friedkin,William Friedkin,William Friedkin,ウィリアム・フリードキン
137,Q31970512,Jonathan Majors,human,جوناثان ميجورز,Jonathan Majors,Jonathan Majors,Jonathan Majors,Jonathan Majors,ジョナサン・メジャース
138,Q9448,Premier League,association football league,الدوري الإنجليزي الممتاز,Premier League,Premier League,championnat d'Angleterre de football,Premier League,プレミアリーグ
139,Q24228,Halo Studios,video game developer,343 إندستريز,343 Industries,343 Industries,343 Industries,343 Industries,343 Industries
140,Q732997,British Academy Film Awards,recurring event,جوائز الأكاديمية البريطانية للأفلام,British Academy Film Award,Premios BAFTA,British Academy Film Awards,British Academy Film Awards,英国アカデミー賞
141,Q60738660,The Boy Who Harnessed the Wind,film,الصبي الذي سخر الرياح,"Der Junge, der den Wind einfing",El niño que domó el viento,Le Garçon qui dompta le vent,Il ragazzo che catturò il vento,風をつかまえた少年
142,Q1216187,Beauty and the Beast,television series,الجميلة والوحش,Die Schöne und das Biest,La bella y la bestia,La Belle et la Bête,La bella e la bestia,1987年の同名番組
143,Q3490213,Violin Sonata No. 3,musical work/composition,,,Sonata para violín n.° 3 (Brahms),Sonate pour violon et piano n° 3,Sonata n.3 per violino e pianoforte,ヴァイオリンソナタ第3番 (ブラームス)
144,Q104580110,Ruin and Rising,literary work,,Lodernde Schwingen,,L'Oiseau de feu,Rovina e ascesa,
145,Q36479,The Lion King,animated film,الأسد الملك,Der König der Löwen,El rey león,Le Roi lion,Il re leone,ライオン・キング
146,Q7642193,Super Bowl 50,Super Bowl,سوبر بول 50,Super Bowl 50,Super Bowl 50,Super Bowl 50,Super Bowl 50,第50回スーパーボウル
147,Q819972,The Transporter,film,الناقل,The Transporter,The Transporter,Le Transporteur,The Transporter,トランスポーター
148,Q2280840,Ganbare Genki,anime television series,فارس الفتى الشجاع,,,,Forza Genki - Forza Sugar,がんばれ元気
149,Q2444377,Smolenskoye Orthodox Cemetery,cemetery,,Smolensker Friedhof,Cementerio Ortodoxo de Smolensk,cimetière orthodoxe de Smolensk,,スモレンスキー墓地
150,Q1291779,Al-Zaytuna Mosque,mosque,جامع الزيتونة,Ez-Zitouna-Moschee,Mezquita Zitouna,mosquée Zitouna,moschea al-Zaytuna,ザイトゥーナモスク
151,Q1299410,Investigation of a Citizen Above Suspicion,film,تحقيق مع مواطن فوق مستوى الشبهات,Ermittlungen gegen einen über jeden Verdacht erhabenen Bürger,Investigación sobre un ciudadano libre de toda sospecha,Enquête sur un citoyen au-dessus de tout soupçon,Indagine su un cittadino al di sopra di ogni sospetto,殺人捜査
152,Q2270201,Floris and Blancheflour,literary work,,Floire et Blancheflor,Flores y Blancaflor,Floire et Blancheflor,,
153,Q1570778,Little Princess,television series,,Kleine Prinzessin,Princesita,Petite Princesse,,リトルプリンセス
154,Q823691,The Country of the Blind,literary work,بلد العميان,Das Land der Blinden,El país de los ciegos,Le Pays des aveugles,Il paese dei ciechi,
155,Q2492950,Nine Princes in Amber,literary work,,Corwin von Amber,Los nueve príncipes de Ámbar,Les Neuf Princes d'Ambre,Nove principi in Ambra,
156,Q25396205,Derbent Synagogue,synagogue,,Kele-Numas,Sinagoga de Derbent,,,
157,Q127912,United States Declaration of Independence,declaration of independence,إعلان الاستقلال الأمريكي,Unabhängigkeitserklärung der Vereinigten Staaten,Declaración de Independencia de los Estados Unidos,Déclaration d'indépendance des États-Unis,Dichiarazione d'indipendenza degli Stati Uniti d'America,アメリカ独立宣言
158,Q3834368,bounty hunter,fictional profession,,Kopfgeldjäger,Cazarrecompensas (Star Wars),,Lista di cacciatori di taglie minori (Guerre stellari),
159,Q2071759,Cool Air,literary work,الهواء البارد,,Aire frío,Air froid,Aria fredda,冷気
160,Q52847,European Economic Community,organization,السوق الأوروبية المشتركة,Europäische Wirtschaftsgemeinschaft,Comunidad Económica Europea,Communauté économique européenne,Comunità economica europea,欧州経済共同体
161,Q66364576,2019 World Series,sports competition,سلسلة العالم لكرة القاعدة 2019,World Series 2019,Serie Mundial de 2019,Série mondiale 2019,World Series 2019,2019年のワールドシリーズ
162,Q2478988,Mole Man,comics character,,,Hombre Topo,L'Homme-taupe,Uomo Talpa,モールマン
163,Q645157,Poblet Monastery,church building,,Monestir de Santa Maria de Poblet,Monasterio de Poblet,monastère de Poblet,Monastero di Santa Maria di Poblet,ポブレー修道院
164,Q377882,Royaumont Abbey,abbey,,Kloster Royaumont,,abbaye de Royaumont,Abbazia di Royaumont,ロワイヨモン修道院
165,Q352940,Louis of Evreux,human,لويس، كونت إفرو,Ludwig,Luis de Évreux,Louis d'Évreux,Luigi d'Évreux,ルイ・デヴルー
166,Q154581,Gangs of New York,film,عصابات نيويورك,Gangs of New York,Gangs of New York,Gangs of New York,Gangs of New York,ギャング・オブ・ニューヨーク
167,Q1356213,Mission: Impossible,film series,مهمة مستحيلة,Mission: Impossible,Misión imposible,Mission impossible,Mission: Impossible,ミッション:インポッシブルシリーズ
168,Q43228,"Goodbye, Mr. Chips",film,الوداع يا سيد تشيبس,"Auf Wiedersehen, Mr. Chips","Adiós, Mr. Chips",Au revoir Mr. Chips,"Addio, Mr. Chips!",チップス先生さようなら
169,Q426433,Not as a Stranger,film,,… und nicht als ein Fremder,No serás un extraño,Pour que vivent les hommes,Nessuno resta solo,見知らぬ人でなく
170,Q6818188,María Mercedes Fontecilla Valdivieso,human,,Mercedes Fontecilla,María Mercedes Fontecilla Valdivieso,María Mercedes Fontecilla Valdivieso,,
171,Q7828545,Toucan 'Tecs,television series,الصديقان,The Adventures of Zippi and Zac,,,,
172,Q495840,Little Johnny,stock character,,Jantje,Jaimito,blague de Toto,Pierino,小さなジョニー
173,Q153204,Emilian of Cogolla,human,مييان,Aemilianus von Cogolla,Millán,Émilien de la Cogolla,Emiliano della Cogolla,聖エミリアヌス
174,Q778527,Eros and Civilization,written work,الحب والحضارة,Triebstruktur und Gesellschaft,Eros y civilización,Éros et civilisation,Eros e civiltà,
175,Q2625582,Dumuzid the Fisherman,human,دوموزيد الصياد,,"Dumuzid, el pescador",Dumuzi le Pêcheur,,ドゥムジ (メソポタミア神話)
176,Q1272037,Self-portrait at Thirteen,drawing,,Selbstbildnis als Dreizehnjähriger,autorretrato de Durero,Autoportrait à l'âge de 13 ans,Autoritratto a tredici anni,
177,Q205524,Royal Convent of La Encarnación,monastery,,Real Monasterio de la Encarnación,Real Monasterio de la Encarnación,monastère de l'Incarnation,Monastero Reale de la Encarnación,ラ・エンカルナシオン王立修道院
178,Q573463,Anthony Joshua,human,أنتوني جوشوا,Anthony Joshua,Anthony Joshua,Anthony Joshua,Anthony Joshua,アンソニー・ジョシュア
179,Q6191409,Jia Tanchun,fictional human,,,,Jia Désir du Printemps,,賈探春
180,Q221150,Minnesota Vikings,American football team,مينيسوتا فايكنغز,Minnesota Vikings,Minnesota Vikings,Vikings du Minnesota,Minnesota Vikings,ミネソタ・バイキングス
