source,target
James Stewart,Jacques IV d'Écosse
Rebel Without a Cause,La Fureur de vivre
Judy Garland*|*Best Picture Oscar,Judy Garland*|*Oscar du meilleur film
Live and Let Die*|*James Bond,Vivre et laisser mourir*|*James Bond
BAFTA,British Academy Film Awards
Glenn Close,Glenn Close
,
De Niro,Robert De Niro
Lawrence of Arabia,Lawrence d'Arabie
Lilly Wachowski,Lilly Wachowski
Paul Walker,Paul Walker
Korean,coréen
Final Destination*|*Canada,Destination finale*|*Canada
Back to the Future*|*Elisabeth Shue,Retour vers le futur*|*Elisabeth Shue
Ian McKellen,Ian McKellen
United States*|*Spider-Man,États-Unis*|*Spider-Man
Cobra Kai,Cobra Kai
James Bond*|*Ireland,James Bond*|*Irlande
,
The Graduate*|*Triple Crown of Acting,Le Lauréat*|*nan
Ryan Reynolds*|*Black Widow,Ryan Reynolds*|*Black Widow
Gone with the Wind*|*A Streetcar Named Desire,Autant en emporte le vent*|*Un tramway nommé Désir
Superman*|*USA,Superboy*|*États-Unis
Spider-Man*|*England,Spider-Man*|*royaume d'Angleterre
Roger Moore*|*Louisiana,Roger Moore*|*Louisiane
The Call of the Wild*|*Star Wars,"L'Appel de la forêt*|*Star Wars, épisode IV : Un nouvel espoir"
Pirates of the Caribbean,Pirates des Caraïbes
Blue Lagoon*|*Princeton University,Le Lagon bleu*|*université de Princeton
Good Will Hunting*|*Harvard,Will Hunting*|*université Harvard
Bronx,Bronx
Harry Potter*|*Brown University,Harry Potter*|*université Brown
Transformers*|*Victoria's Secret,Transformers*|*Victoria's Secret
The Crazies*|*University of Southern California,The Crazies*|*université de Californie du Sud
Star Wars*|*Israel,"Star Wars, épisode IV : Un nouvel espoir*|*Jacob"
A Quiet Place*|*The Office,Sans un bruit*|*The Office
Squid Game*|*India,Squid Game*|*Inde
Detroit,Détroit
March of the Penguins,La Marche de l'empereur
Burt Lancaster*|*Sweet Smell of Success*|*New York City,Burt Lancaster*|*Le Grand Chantage*|*New York
On the Waterfront,Sur les quais
The Goonies,Les Goonies
,
The 40-Year-Old Virgin,"40 ans, toujours puceau"
Mona Lisa Smile,Le Sourire de Mona Lisa
Jack Sparrow,Jack Sparrow
Fear and Loathing in Las Vegas,Las Vegas Parano
Achilles*|*Troy,Achille*|*Troie
Field of Dreams,Jusqu'au bout du rêve
The Green Mile,La Ligne verte
The Hangover,Very Bad Trip
Thor Ragnarok,Thor : Ragnarok
Katniss Everdeen*|*The Hunger Games,Katniss Everdeen*|*Hunger Games
Harry Potter,Harry Potter
The Hunger Games,Hunger Games
Legally Blonde,La Revanche d'une blonde
The Mummy,La Momie
The Terminal,Le Terminal
The Hunger Games,Hunger Games
ET,"E.T., l'extra-terrestre"
ET,"E.T., l'extra-terrestre"
Ed Warren*|*The Conjuring,Ed Warren*|*Conjuring : Les Dossiers Warren
The Sandlot,Le Gang des champions
Jack Sparrow,Jack Sparrow
Jack Sparrow,Jack Sparrow
Jack Sparrow,Jack Sparrow
,
Denzel Washington,Denzel Washington
Denzel Washington,Denzel Washington
Pirates of the Caribbean,Pirates des Caraïbes
Fast & Furious,Fast and Furious
Lord of the Rings,Le Seigneur des anneaux
Dirty Harry,L'Inspecteur Harry
Mission: Impossible,Mission impossible
Steven Spielberg,Steven Spielberg
,
Star Trek,Star Trek
Pirates of the Caribbean,Pirates des Caraïbes
Guillermo del Toro,Guillermo del Toro
Fast & Furious,Fast and Furious
Disney*|*United States,Disney Channel*|*États-Unis
Jackson*|*Lord of the Rings,Jackson*|*Le Seigneur des anneaux
,
Fast & Furious,Fast and Furious
,
,
,
Fast & Furious,Fast and Furious
Fast & Furious,Fast and Furious
Fast & Furious,Fast and Furious
Fast & Furious,Fast and Furious
Fast & Furious,Fast and Furious
MCU,Univers cinématographique Marvel
Fast & Furious*|*Paul Walker,Fast and Furious*|*Paul Walker
Lord of the Rings,Le Seigneur des anneaux
,
Jaws,Les Dents de la mer
,
Steven Spielberg,Steven Spielberg
,
United States,États-Unis
United States,États-Unis
United States,États-Unis
United States,États-Unis
,
Back to the Future,Retour vers le futur
Spider-Man,Spider-Man
,
Pirates of the Caribbean,Pirates des Caraïbes
Pirates of the Caribbean,Pirates des Caraïbes
Pirates of the Caribbean,Pirates des Caraïbes
,
,
,
Lord of the Rings,Le Seigneur des anneaux
The Sandlot,Le Gang des champions
,
,
Pirates of the Caribbean,Pirates des Caraïbes
,
Godfather,Le Parrain
,
America,États-Unis
Pirates of the Caribbean,Pirates des Caraïbes
Jurassic Park,Jurassic Park
Forrest Gump*|*Academy Awards,Forrest Gump*|*Oscars du cinéma
Pixar*|*Antz,Pixar Animation Studios*|*Fourmiz
Disney*|*How to Train Your Dragon,Disney Channel*|*Dragons
Pete's Dragon,Peter et Elliott le dragon
Harry Potter*|*Harry Potter,Harry Potter*|*Harry Potter
,
Michael Clarke Duncan*|*The Green Mile,Michael Clarke Duncan*|*La Ligne verte
Fear and Loathing in Las Vegas,Las Vegas Parano
Apollo 13,Apollo 13
Parasite,Parasite
Parasite,Parasite
Chinese,chinois
Groundhog Day*|*Schindler's List,Un jour sans fin*|*La Liste de Schindler
Dwayne Johnson*|*Moana,Dwayne Johnson*|*Vaiana : La Légende du bout du monde
Die Hard,Piège de cristal
Fast & Furious,Fast and Furious
Tom Hanks*|*Saving Private Ryan,Tom Hanks*|*Il faut sauver le soldat Ryan
George Clooney,George Clooney
William Friedkin*|*The Exorcist,William Friedkin*|*L'Exorciste
Spider-Man*|*Marvel,Spider-Man*|*Univers cinématographique Marvel
Saving Private Ryan,Il faut sauver le soldat Ryan
The English Patient,Le Patient anglais
Peter Pan*|*Aladdin,Peter Pan*|*Aladin ou la Lampe merveilleuse
The Boondock Saints,Les Anges de Boston
Robert De Niro,Robert De Niro
The Devil Wears Prada,Le diable s'habille en Prada
Split*|*Unbreakable,"Le crime, c'est notre business*|*Incassable"
Forrest Gump,Forrest Gump
Titanic,Titanic
Tom Hanks*|*Polar Express,Tom Hanks*|*Le Pôle express
Leonardo DiCaprio*|*Once Upon a Time in Hollywood,Leonardo DiCaprio*|*Once Upon a Time in... Hollywood
Goodfellas,Les Affranchis
Michael Douglas*|*Falling Down,Michael Crichton*|*Chute libre
Academy Awards,Oscars du cinéma
Citizen Kane*|*Academy Awards,Citizen Kane*|*Oscars du cinéma
Tom Hanks*|*Cast Away,Tom Hanks*|*Seul au monde
Harry Potter,Harry Potter
Robert Pattinson*|*Harry Potter and the Chamber of Secrets,Robert Pattinson*|*Harry Potter et la Chambre des secrets
Fellowship of the Ring*|*Lord of the Rings,communauté de l'Anneau*|*Le Seigneur des anneaux
The Matrix,Matrix
Jaws,Les Dents de la mer
Michael J. Fox*|*Back to the Future,Michael J. Fox*|*Retour vers le futur
Titanic*|*Ghostbusters,Titanic*|*SOS Fantômes
Dan Aykroyd*|*Bill Murray,Dan Aykroyd*|*Bill Murray
Chris Farley*|*Dan Aykroyd,Chris Farley*|*Dan Aykroyd
Wings,Les Ailes
Harry Potter*|*US,Harry Potter*|*États-Unis
Steven Spielberg*|*Back to the Future,Steven Spielberg*|*Retour vers le futur
Romancing the Stone*|*Colombia,À la poursuite du diamant vert*|*Colombie
Chiwetel Ejiofor*|*Oscars,Chiwetel Ejiofor*|*Oscars du cinéma
Harry Potter*|*England,Harry Potter*|*royaume d'Angleterre
How to Train Your Dragon,Dragons
Rumours*|*Fleetwood Mac*|*Adele,Rumours*|*Fleetwood Mac*|*Adele
Jay-Z,Jay-Z
Lana Del Rey*|*Adele,Lana Del Rey*|*Adele
Jay-Z*|*Dr. Dre,Jay-Z*|*Dr. Dre
Jay-Z*|*Eminem,Jay-Z*|*Eminem
Beyoncé*|*The Lion King: The Gift,Beyoncé*|*The Lion King: The Gift
2 of Amerikaz Most Wanted,2 of Amerikaz Most Wanted
Grammys*|*Elvis*|*Bruce Springsteen,Grammy Awards*|*Elvis Presley*|*Bruce Springsteen
Beyoncé*|*Katy Perry,Beyoncé*|*Katy Perry
Rolling Stones*|*Some Girls,The Rolling Stones*|*Some Girls
Thriller*|*Back in Black,Thriller*|*Back in Black
Destiny's Child,Destiny's Child
Jimi Hendrix*|*Monterrey,Jimi Hendrix*|*Monterrey
Blackpink,Blackpink
Destiny's Child,Destiny's Child
It's Gonna Be Me,It's Gonna Be Me
Destiny's Child,Destiny's Child
Amon Amarth*|*Sweden,Mont Destin*|*Suède
The Police*|*British,The Police*|*britannique
Wu-Tang Clan*|*Ol' Dirty Bastard,Secte de Wudang*|*Ol' Dirty Bastard
British,britannique
Australia,continent australien
Ireland,Irlande
Linda Ronstadt*|*English,Linda Ronstadt*|*Anglais
Destiny's Child,Destiny's Child
Blackpink*|*South Korea,Blackpink*|*Corée du Sud
EXO*|*South Korea,EXO*|*Corée du Sud
South Korea,Corée du Sud
South Korea,Corée du Sud
,
African American,Afro-Américains
Blackpink*|*Paris Fashion Week,Blackpink*|*Semaine de la mode de Paris
,
BTS*|*Seoul,BTS*|*Séoul
Florida*|*Kentucky,Floride*|*Kentucky
One Direction*|*England,One Direction*|*royaume d'Angleterre
Gibb*|*Bee Gees,Gibb*|*Bee Gees
Blackpink*|*Thailand,Blackpink*|*Thaïlande
Blackpink*|*Thailand,Blackpink*|*Thaïlande
Rolling Stones*|*Pirates of the Caribbean: At World's End,The Rolling Stones*|*Pirates des Caraïbes : Jusqu'au bout du monde
,
AC/DC*|*United Kingdom,AC/DC*|*Royaume-Uni
Canada*|*Titanic,Canada*|*Titanic
The Black Eyed Peas*|*Poseidon,Black Eyed Peas*|*Poséidon
Destiny's Child,Destiny's Child
Barbados,Barbade
Joyner Lucas,Joyner Lucas
G-Unit*|*Den of Thieves,G-Unit*|*Criminal Squad
,
Blackpink*|*Thailand,Blackpink*|*Thaïlande
Jackson 5*|*Paula Abdul,The Jackson Five*|*Paula Abdul
BTS*|*English,BTS*|*Anglais
Destiny's Child,Destiny's Child
China,république populaire de Chine
,
,
Papa Don't Preach,Papa Don't Preach
,
Canadian,Canadiens
The Rolling Stones,The Rolling Stones
US,États-Unis
Adele*|*Grammy Awards,Adele*|*Grammy Awards
August Alsina,August Alsina
Jay-Z*|*Grammy Award,Jay-Z*|*Grammy Awards
R.E.M.,R.E.M.
Ozzy Osbourne*|*Grammy,Ozzy Osbourne*|*Grammy Awards
,
,
R.E.M.,R.E.M.
Elvis Presley*|*United States,Elvis Presley*|*États-Unis
US,États-Unis
Ed Sheeran*|*US,Ed Sheeran*|*États-Unis
,
,
,
,
United States,États-Unis
,
UK,Royaume-Uni
,
,
,
Billboard Hot 100,Billboard Hot 100
African,Africains
US,États-Unis
Grammy Award,Grammy Awards
,
,
Grammy Award,Grammy Awards
,
Drake*|*United States,Drake*|*États-Unis
Céline Dion*|*Miracle,Céline Dion*|*symphonie nº 96
Miley Cyrus*|*Golden Globe Awards,Miley Cyrus*|*Golden Globes
Russia,Empire russe
Backstreet Boys*|*Grammy,Backstreet Boys*|*Grammy Awards
Rolling Stones*|*UK,The Rolling Stones*|*Royaume-Uni
UK,Royaume-Uni
Jay-Z*|*Eminem,Jay-Z*|*Eminem
Dr. Dre*|*Grammy,Dr. Dre*|*Grammy Awards
Bee Gees,Bee Gees
R.E.M.,R.E.M.
Felt*|*Cherry Red Records,Felt*|*Cherry Red
Beyoncé*|*Grammy,Beyoncé*|*Grammy Awards
A Hard Day's Night*|*Rubber Soul,A Hard Day's Night*|*Rubber Soul
Ozzy Osbourne*|*Black Sabbath,Ozzy Osbourne*|*Black Sabbath
Toronto Maple Leafs*|*Detroit Red Wings,Maple Leafs de Toronto*|*Red Wings de Détroit
United States*|*China*|*Summer Olympics,États-Unis*|*république populaire de Chine*|*Jeux olympiques d’été
Italy*|*Belarus*|*Summer Olympics,Italie*|*Biélorussie*|*Jeux olympiques d’été
New England Patriots*|*Cleveland Browns,Patriots de la Nouvelle-Angleterre*|*Browns de Cleveland
Malik Monk*|*Devonte' Graham,Malik Monk*|*Devonte' Graham
Serena Williams*|*Venus Williams,Serena Williams*|*Venus Williams
Red Sox*|*World Series*|*White Sox,Red Sox de Boston*|*Série mondiale*|*White Sox de Chicago
Philadelphia Phillies*|*World Series,Phillies de Philadelphie*|*Série mondiale
Dallas Cowboys*|*Buffalo Bills,Cowboys de Dallas*|*Bills de Buffalo
World Series*|*Texas Rangers*|*Arizona Diamondbacks,Série mondiale*|*Rangers du Texas*|*Diamondbacks de l'Arizona
Super Bowl*|*Pittsburgh Steelers*|*Dallas Cowboys,Super Bowl*|*Steelers de Pittsburgh*|*Cowboys de Dallas
Simone Biles,Simone Biles
Brazil*|*Germany,Brésil*|*Allemagne
Olympics*|*USA*|*China,Jeux olympiques*|*États-Unis*|*république populaire de Chine
New England Patriots*|*Dallas Cowboys,Patriots de la Nouvelle-Angleterre*|*Cowboys de Dallas
Stanley Cup*|*Toronto Maple Leafs*|*Detroit Red Wings,coupe Stanley*|*Maple Leafs de Toronto*|*Red Wings de Détroit
NFL*|*Super Bowl*|*New England Patriots*|*Dallas Cowboys,National Football League*|*Super Bowl*|*Patriots de la Nouvelle-Angleterre*|*Cowboys de Dallas
Jack Nicklaus*|*Tiger Woods,Jack Nicklaus*|*Tiger Woods
Pittsburgh Steelers*|*Tampa Bay Buccaneers,Steelers de Pittsburgh*|*Buccaneers de Tampa Bay
World Series*|*Giants*|*Dodgers,Série mondiale*|*Giants de San Francisco*|*Dodgers de Los Angeles
Michael Phelps*|*American,Michael Phelps*|*Américains
Shaquille O'Neal*|*Dennis Rodman,Shaquille O'Neal*|*Dennis Rodman
United States*|*Australia,États-Unis*|*continent australien
Tiger Woods*|*Phil Mickelson,Tiger Woods*|*Phil Mickelson
World Series*|*New York Yankees*|*Boston Red Sox,Série mondiale*|*Yankees de New York*|*Red Sox de Boston
New England Patriots*|*Super Bowl,Patriots de la Nouvelle-Angleterre*|*Super Bowl
Joe Montana*|*Tom Brady,Joe Montana*|*Tom Brady
Detroit Lions*|*Green Bay Packers,Lions de Détroit*|*Packers de Green Bay
Green Bay Packers*|*Dallas Cowboys,Packers de Green Bay*|*Cowboys de Dallas
Dallas Cowboys*|*Super Bowl,Cowboys de Dallas*|*Super Bowl
Tiger Woods*|*Jordan Spieth,Tiger Woods*|*Jordan Spieth
World Series*|*Detroit Tigers,Série mondiale*|*Tigers de Détroit
,
Tampa Bay Lightning,Lightning de Tampa Bay
Minnesota Vikings,Vikings du Minnesota
NBA Finals,Finales NBA
Seattle Seahawks*|*Super Bowl,Seahawks de Seattle*|*Super Bowl
Germany*|*World Cup,Allemagne*|*Coupe du monde de football
Minnesota Twins*|*World Series,Twins du Minnesota*|*Série mondiale
New England Patriots*|*NFL,Patriots de la Nouvelle-Angleterre*|*National Football League
World Series*|*Chicago Cubs,Série mondiale*|*Cubs de Chicago
Super Bowl*|*Tampa Bay Buccaneers,Super Bowl*|*Buccaneers de Tampa Bay
Super Bowl*|*Seattle Seahawks,Super Bowl*|*Seahawks de Seattle
Bobby Cox,Bobby Cox
Brazil,Brésil
Kerri Walsh Jennings,Kerri Walsh
World Series*|*Baltimore Orioles,Série mondiale*|*Orioles de Baltimore
Tampa Bay Buccaneers,Buccaneers de Tampa Bay
Patrick Kane,Patrick Kane
Shaquille O'Neal,Shaquille O'Neal
Super Bowl*|*Diana Ross,Super Bowl*|*Diana Ross
National League*|*California,Ligue nationale*|*Californie
,
Detroit Pistons,Pistons de Détroit
Detroit Pistons,Pistons de Détroit
Greg Maddux,Greg Maddux
NBA*|*Amar'e Stoudemire,National Book Award*|*Amar'e Stoudemire
Russell Westbrook,Russell Westbrook
France,Cinquième République
Brazil,Brésil
U.S.,États-Unis
Olympics,Jeux olympiques
Olympics*|*Simone Biles,Jeux olympiques*|*Simone Biles
Olympics,Jeux olympiques
Luis Suárez*|*European Golden Shoe,Luis Suárez*|*Soulier d'or européen
Triple Crown,Triple couronne
NBA Finals*|*Michael Jordan,Finales NBA*|*Michael Jordan
World Series*|*Derek Jeter,Série mondiale*|*Derek Jeter
World Series*|*Sandy Koufax,Série mondiale*|*Sandy Koufax
Pan American Games*|*Michael Jordan,Jeux panaméricains*|*Michael Jordan
MLB*|*World Series,Ligue majeure de baseball*|*Série mondiale
World Series,Série mondiale
World Series,Série mondiale
Shaquille O'Neal*|*NBA,Shaquille O'Neal*|*National Book Award
NFL*|*New York*|*Super Bowl,National Football League*|*New York*|*Super Bowl
Summer Olympics,Jeux olympiques d’été
Summer Olympics,Jeux olympiques d’été
,
Olympic Games,Jeux olympiques antiques
NBA*|*Golden State Warriors*|*NBA Finals,National Book Award*|*Warriors de Golden State*|*Finales NBA
American,Américains
,
Filipino,philippin
World Series,Série mondiale
Red Sox*|*World Series,Red Sox de Boston*|*Série mondiale
Michael Phelps*|*Olympic Games,Michael Phelps*|*Jeux olympiques antiques
Super Bowl,Super Bowl
Olympic Games*|*Michelle Kwan,Jeux olympiques antiques*|*Michelle Kwan
Croatia*|*France*|*FIFA World Cup,Croatie*|*Cinquième République*|*Coupe du monde de football
Olympics,Jeux olympiques
Stanley Cup,coupe Stanley
Texas Rangers*|*World Series,Rangers du Texas*|*Série mondiale
John Stockton*|*Karl Malone,John Stockton*|*Karl Malone
Super Bowl*|*Cincinnati Bengals*|*San Francisco 49ers,Super Bowl*|*Bengals de Cincinnati*|*49ers de San Francisco
Super Bowl*|*Terry Bradshaw,Super Bowl*|*Terry Bradshaw
Michael Phelps,Michael Phelps
,
MLB*|*World Series,Ligue majeure de baseball*|*Série mondiale
NHL*|*Stanley Cup,Ligue nationale de hockey*|*coupe Stanley
San Francisco*|*New York Giants*|*Los Angeles*|*Brooklyn Dodgers,San Francisco*|*Giants de San Francisco*|*Los Angeles*|*Dodgers de Los Angeles
San Francisco Giants,Giants de San Francisco
US,États-Unis
Lionel Messi*|*Argentina,Lionel Messi*|*Argentine
Usain Bolt,Usain Bolt
Greg Maddux,Greg Maddux
Buffalo Bills*|*Super Bowl,Bills de Buffalo*|*Super Bowl
Atlanta Braves,Braves d'Atlanta
Minnesota Vikings,Vikings du Minnesota
Major League Baseball*|*World Series,Ligue majeure de baseball*|*Série mondiale
Pep Guardiola*|*Manchester City,Pep Guardiola*|*Manchester City FC
Anthony Joshua*|*England,Anthony Joshua*|*royaume d'Angleterre
Chicago*|*World Series,Chicago*|*Série mondiale
Chicago Bears*|*Super Bowl,Bears de Chicago*|*Super Bowl
Olympics,Jeux olympiques
Staples Center*|*Shaquille O'Neal,Crypto.com Arena*|*Shaquille O'Neal
U.S.,États-Unis
Olympian*|*Baltimore*|*MD,sportif olympique*|*Baltimore*|*Mega Drive
2020 World Series,Série mondiale 2020
New York Islanders,Islanders de New York
Charlotte Hornets,Hornets de Charlotte
New England Patriots*|*Tampa Bay Buccaneers,Patriots de la Nouvelle-Angleterre*|*Buccaneers de Tampa Bay
Kansas City Royals,Royals de Kansas City
NHL*|*Stanley Cup*|*Chicago Blackhawks,Ligue nationale de hockey*|*coupe Stanley*|*Blackhawks de Chicago
World Series*|*Tacoma*|*Washington,Série mondiale*|*mont Rainier*|*Washington
Camden Yards,Oriole Park at Camden Yards
Liverpool FC,Liverpool FC
San Francisco Giants,Giants de San Francisco
Chicago Bulls*|*North Carolina,Bulls de Chicago*|*Caroline du Nord
LeBron James,LeBron James
Brooklyn Nets*|*Warriors,Nets de Brooklyn*|*Warriors de Golden State
Los Angeles Lakers*|*Cavs,Lakers de Los Angeles*|*Cavaliers de Cleveland
New Orleans Pelicans*|*NBA,Pelicans de La Nouvelle-Orléans*|*National Book Award
U.S.*|*Columbus*|*Ohio,États-Unis*|*Christophe Colomb*|*Ohio
U.S.,États-Unis
U.S.*|*Moscow*|*Russia,États-Unis*|*Moscou*|*Empire russe
National League*|*Bryce Harper,Ligue nationale*|*Bryce Harper
,
Summer Olympic Games,Jeux olympiques d’été
New York Jets*|*NCAA*|*USC,Jets de New York*|*National Collegiate Athletic Association*|*université de Californie du Sud
,
Atlanta Braves*|*Atlanta Braves,Braves d'Atlanta*|*Braves d'Atlanta
Silver Slugger Award,prix Silver Slugger
Roberto Clemente Award,prix Roberto-Clemente
National League,Ligue nationale
U.S.*|*Irvine*|*California,États-Unis*|*Irvine*|*Californie
U.S.*|*Columbus*|*OH,États-Unis*|*Christophe Colomb*|*Ohio
NHL*|*California*|*Wayne Gretzky,Ligue nationale de hockey*|*Californie*|*Wayne Gretzky
LA Lakers*|*Brooklyn*|*New York,Lakers de Los Angeles*|*Brooklyn*|*New York
Philadelphia 76ers*|*Lagos*|*Nigeria,76ers de Philadelphie*|*Lagos*|*Nigeria
Boston Celtics*|*Maryland,Celtics de Boston*|*Maryland
FC Barcelona*|*U.S.,FC Barcelone*|*États-Unis
Los Angeles Angels,Angels de Los Angeles
Chicago Cubs,Cubs de Chicago
Kansas City Chiefs*|*Tyler*|*Texas,Chiefs de Kansas City*|*Tyler*|*Texas
American*|*Brooklyn*|*New York*|*NY,Américains*|*Brooklyn*|*New York*|*New York
American*|*Los Angeles Lakers*|*National Basketball Association,Américains*|*Lakers de Los Angeles*|*National Basketball Association
Winter Olympics,Jeux olympiques d’hiver
