id,name,ar,de,es,fr,it,ja,ko,th,tr,zh
Q48249,Falklands War,حرب الفوكلاند,Falklandkrieg,Guerra de las Malvinas,guerre des Malouines,guerra delle Falkland,フォークランド紛争,포클랜드 전쟁,สงครามฟอล์กแลนด์,Falkland Savaşı,马岛战争
Q48314,Battle of Waterloo,معركة واترلو,Schlacht bei Waterloo,Batalla de Waterloo,bataille de Waterloo,battaglia di Waterloo,ワーテルローの戦い,워털루 전투,ยุทธการที่วอเตอร์ลู,Waterloo Muharebesi,滑铁卢战役
Q41583,coach,مدرب رياضي,Trainer,entrenador,entraîneur sportif ou entraîneuse sportive,allenatore,コーチ,코치,ผู้ฝึกสอน,antrenör,教練
Q78994,Napoleonic Wars,الحروب النابليونية,Napoleonische Kriege,guerras napoleónicas,guerres napoléoniennes,guerre napoleoniche,ナポレオン戦争,나폴레옹 전쟁,สงครามนโปเลียน,Napolyon Savaşları,拿破崙戰爭
Q105584,Rotten Tomatoes,روتن توميتوز,Rotten Tomatoes,Rotten Tomatoes,Rotten Tomatoes,Rotten Tomatoes,Rotten Tomatoes,로튼 토마토,รอตเทนโทเมโทส์,Rotten Tomatoes,爛番茄
Q160311,Henry III of England,هنري الثالث ملك إنجلترا,Heinrich III.,Enrique III de Inglaterra,Henri III,Enrico III d'Inghilterra,ヘンリー3世,헨리 3세,พระเจ้าเฮนรีที่ 3 แห่งอังกฤษ,III. Henry,亨利三世
Q161652,Japanese people,شعب ياباني,Japaner,japoneses,Japonais,giapponesi,日本人,일본인,ชาวญี่ปุ่น,japonlar,日本人
Q178869,One Hundred Years of Solitude,مئة عام من العزلة,Hundert Jahre Einsamkeit,Cien años de soledad,Cent Ans de solitude,Cent'anni di solitudine,百年の孤独,백년 동안의 고독,,Yüzyıllık Yalnızlık,百年孤独
Q165524,Tobey Maguire,توبي ماغواير,Tobey Maguire,Tobey Maguire,Tobey Maguire,Tobey Maguire,トビー・マグワイア,토비 매과이어,โทบีย์ แมไกวร์,Tobey Maguire,托比·马圭尔
Q169705,Xia dynasty,سلالة شيا الحاكمة,Xia-Dynastie,dinastía Xia,dynastie Xia,dinastia Xia,夏,하나라,ราชวงศ์เซี่ย,Xia Hanedanı,夏朝
Q192682,Ryan Reynolds,رايان رينولدز,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,Ryan Reynolds,ライアン・レイノルズ,라이언 레이놀즈,ไรอัน เรย์โนลด์ส,Ryan Reynolds,萊恩·羅尼·雷諾斯
Q194045,Steven Tyler,ستيفن تيلور,Steven Tyler,Steven Tyler,Steven Tyler,Steven Tyler,スティーヴン・タイラー,스티븐 타일러,,Steven Tyler,史蒂芬·泰勒
Q213559,Lincoln Memorial,نصب لنكولن التذكاري,Lincoln Memorial,Monumento a Lincoln,Lincoln Memorial,Lincoln Memorial,リンカーン記念館,링컨 기념관,อนุสรณ์สถานลินคอล์น,Lincoln Anıtı,林肯纪念堂
Q211236,celebrity,مشهور,Prominenz,celebridad,célébrité,celebrità,セレブリティ,스타,ผู้มีชื่อเสียง,ünlü,名流
Q2027162,Gateway Arch,قوس جيت واي,Gateway Arch,Arco Gateway,Gateway Arch,Arco della porta,ゲートウェイ・アーチ,게이트웨이 아치,,Gateway Arch,聖路易斯拱門
Q2718258,The Vampire Diaries: The Awakening,,,Despertar,Le Journal d'un vampire : Tome 1,Il diario del vampiro - Il risveglio,,,,,
Q13415681,Batman: Arkham,,Batman: Arkham,Batman: Arkham,Batman: Arkham,Batman: Arkham,バットマン：アーカム,,,,蝙蝠俠：阿卡漢
Q214371,The Great Gatsby,غاتسبي العظيم,Der große Gatsby,El gran Gatsby,Gatsby le Magnifique,Il grande Gatsby,グレート・ギャツビー,위대한 개츠비,รักเธอสุดที่รัก,Muhteşem Gatsby,了不起的盖茨比
Q220925,Vinca,عناقية,Immergrün,Vinca,pervenche,Vinca,ツルニチニチソウ属,,,Cezayir menekşesi,蔓长春花属
Q272506,The Phantom of the Opera,شبح الأوبرا,Das Phantom der Oper,El fantasma de la ópera,Le Fantôme de l'Opéra,Il fantasma dell'Opera,オペラ座の怪人,오페라의 유령,ปีศาจแห่งโรงอุปรากร,Operadaki Hayalet,歌劇魅影
Q332388,The Two Towers,البرجان,Die Zwei Türme,Las dos torres,Les Deux Tours,Le due Torri,二つの塔,두 개의 탑,ลอร์ดออฟเดอะริงส์ ตอน หอคอยคู่พิฆาต,İki Kule,雙城奇謀
Q665321,Pikes Peak,,Pikes Peak,Pico Pikes,pic Pikes,Pikes Peak,パイクスピーク,파이크스 피크,,Pikes Peak,派克峰
Q128160,Cuban Missile Crisis,أزمة صواريخ كوبا,Kubakrise,Crisis de los misiles en Cuba,crise des missiles de Cuba,crisi dei missili di Cuba,キューバ危機,쿠바 미사일 위기,วิกฤตการณ์ขีปนาวุธคิวบา,Küba Füze Krizi,古巴导弹危机
Q190145,Spider-Man 2,الرجل العنكبوت 2,Spider-Man 2,Spider-Man 2,Spider-Man 2,Spider-Man 2,スパイダーマン2,스파이더맨 2,ไอ้แมงมุม 2,Örümcek Adam 2,蜘蛛人2
Q202975,Wuthering Heights,مرتفعات ويذرنغ,Sturmhöhe,Cumbres Borrascosas,Les Hauts de Hurlevent,Cime tempestose,嵐が丘,폭풍의 언덕,,Uğultulu Tepeler,咆哮山莊
Q212079,Second Triumvirate,الحكم الثلاثي الثاني,Zweites Triumvirat,Segundo Triunvirato,Second triumvirat,Secondo triumvirato,第二回三頭政治,제2차 삼두정치,คณะสามผู้นำที่สอง,,后三头同盟
Q459592,Dubliners,ناس من دبلن,Dubliner,Dublineses,Les Gens de Dublin,Gente di Dublino,ダブリン市民,더블린 사람들,,Dublinliler,都柏林人
Q466605,Charlie and the Chocolate Factory,تشارلي ومصنع الشوكولاتة,Charlie und die Schokoladenfabrik,Charlie y la fábrica de chocolate,Charlie et la chocolaterie,La fabbrica di cioccolato,チョコレート工場の秘密,찰리와 초콜릿 공장,,Charlie'nin Çikoata Fabrikası,查理與巧克力工廠
Q555977,Brandenburg Gate,,Brandenburger Tor (Kaliningrad),Puerta de Brandeburgo,porte de Brandebourg,,ブランデンブルク門,,,,勃蘭登堡門
Q743180,On the Road,على الطريق (رواية),Unterwegs,En el camino,Sur la route,Sulla strada,路上,길 위에서,ออนเดอะโรด,Yolda,在路上
Q1767900,Mercutio,ماركيشيو,Mercutio,Mercucio,Mercutio,Mercuzio,,머큐시오,,,莫枯修
Q6266,nation,أمة,Nation,nación,nation,nazione,ネーション,국민체,ชาติ,millet,國民
Q29,Spain,إسبانيا,Spanien,España,Espagne,Spagna,スペイン,스페인,ประเทศสเปน,İspanya,西班牙
Q79,Egypt,مصر,Ägypten,Egipto,Égypte,Egitto,エジプト,이집트,ประเทศอียิปต์,Mısır,埃及
Q96,Mexico,المكسيك,Mexiko,México,Mexique,Messico,メキシコ,멕시코,ประเทศเม็กซิโก,Meksika,墨西哥
Q148,People's Republic of China,الصين,Volksrepublik China,República Popular China,république populaire de Chine,Cina,中華人民共和国,중화인민공화국,ประเทศจีน,Çin Halk Cumhuriyeti,中华人民共和国
Q116,monarch,عاهل,Monarch,monarca,monarque,monarca,君主,군주,เจ้าแผ่นดิน,Hükümdar,君主
Q1439,Texas,تكساس,Texas,Texas,Texas,Texas,テキサス州,텍사스주,รัฐเทกซัส,Teksas,德克萨斯州
Q759,New Hampshire,نيوهامبشير,New Hampshire,Nuevo Hampshire,New Hampshire,New Hampshire,ニューハンプシャー州,뉴햄프셔주,รัฐนิวแฮมป์เชอร์,New Hampshire,新罕布什尔州
Q1490,Tokyo,طوكيو,Tokio,Tokio,Tokyo,Tokyo,東京都,도쿄도,โตเกียว,Tokyo,東京都
Q1471,Seine,السين,Seine,Sena,Seine,Senna,セーヌ川,센강,แม่น้ำแซน,Sen Nehri,塞纳河
Q1845,Bible,الكتاب المقدس,Bibel,Biblia,Bible,Bibbia,聖書,성경,คัมภีร์ไบเบิล,Kitâb-ı Mukaddes,聖經
Q1528,Ramesses III,رمسيس الثالث,Ramses III.,Ramsés III,Ramsès III,Ramses III,ラムセス3世,람세스 3세,ฟาโรห์รามเสสที่สาม,III. Ramses,拉美西斯三世
Q2449,Mogadishu,مقديشو,Mogadischu,Mogadiscio,Mogadiscio,Mogadiscio,モガディシュ,모가디슈,โมกาดิชู,Mogadişu,摩加迪休
Q19848,Lady Gaga,ليدي غاغا,Lady Gaga,Lady Gaga,Lady Gaga,Lady Gaga,レディー・ガガ,레이디 가가,เลดี้ กาก้า,Lady Gaga,女神卡卡
Q37150,Lana Del Rey,لانا دل راي,Lana Del Rey,Lana Del Rey,Lana Del Rey,Lana Del Rey,ラナ・デル・レイ,라나 델 레이,ลานา เดล เรย์,Lana Del Rey,拉娜·德雷
Q38022,St. Louis,سانت لويس,St. Louis,San Luis,Saint-Louis,Saint Louis,セイント・ルイス,세인트루이스,เซนต์หลุยส์,St. Louis,聖路易斯
Q42178,vice president,نائب رئيس,Vizepräsident,vicepresidente,vice-président,vicepresidente,副社長、副大統領,부대표,,başkan yardımcısı,副總統
Q44356,Tsar,تسار,Zar,zar,tsar,zar,ツァーリ,차르,ซาร์,çar,沙皇
Q66096,United States Senate,مجلس الشيوخ الأمريكي,Senat der Vereinigten Staaten,Senado de los Estados Unidos,Sénat des États-Unis,Senato degli Stati Uniti d'America,アメリカ合衆国上院,미국 상원,วุฒิสภาสหรัฐอเมริกา,ABD Senatosu,美國參議院
Q47369,harp,جنك,Harfe,arpa,harpe,arpa,ハープ,하프,ฮาร์ป,arp,豎琴
Q51633,Last Supper,العشاء الأخير,Abendmahl Jesu,La Última Cena,La Cène,Ultima cena,最後の晩餐,최후의 만찬,อาหารค่ำมื้อสุดท้าย,Son Akşam Yemeği,最後的晚餐
Q54274,Pirates of the Caribbean: At World's End,قراصنة الكاريبي: في نهاية العالم,Pirates of the Caribbean – Am Ende der Welt,Piratas del Caribe: en el fin del mundo,Pirates des Caraïbes : Jusqu'au bout du monde,Pirati dei Caraibi - Ai confini del mondo,パイレーツ・オブ・カリビアン/ワールド・エンド,캐리비안의 해적: 세상의 끝에서,ผจญภัยล่าโจรสลัดสุดขอบโลก,Karayip Korsanları: Dünyanın Sonu,加勒比海盗3：世界的尽头
Q79037,Spider-Man,الرجل العنكبوت,Spider-Man,Spider-Man,Spider-Man,Uomo Ragno,スパイダーマン,스파이더맨,สไปเดอร์-แมน,Örümcek Adam,蜘蛛人
Q79734,Middle-earth,الأرض الوسطى,Mittelerde,Tierra Media,Terre du Milieu,Terra di Mezzo,中つ国,가운데땅,มิดเดิลเอิร์ธ,Orta Dünya,中土大陸
Q79961,Christ the Redeemer,تمثال المسيح الفادي,Cristo Redentor,Cristo Redentor,statue du Christ Rédempteur,Cristo Redentore,コルコバードのキリスト像,구세주 그리스도상,กริชตูเรเดงโตร์,Kurtarıcı İsa heykeli,里約熱內盧基督像
Q83287,Selena Gomez,سيلينا غوميز,Selena Gomez,Selena Gomez,Selena Gomez,Selena Gomez,セレーナ・ゴメス,셀리나 고메즈,เซลีนา โกเมซ,Selena Gomez,赛琳娜·戈麦斯
Q165284,Louis VIII of France,لويس الثامن ملك فرنسا,Ludwig VIII.,Luis VIII de Francia,Louis VIII,Luigi VIII di Francia,ルイ8世,루이 8세,พระเจ้าหลุยส์ที่ 8 แห่งฝรั่งเศส,VIII. Louis,路易八世
Q171453,Transformers,المتحولون,Transformers,Transformers,Transformers,Transformers,トランスフォーマー,트랜스포머,ทรานส์ฟอร์มเมอร์ส มหาวิบัติจักรกลสังหารถล่มจักรวาล,Transformers,變形金剛
Q176609,Arctic Circle,الدائرة القطبية الشمالية,nördlicher Polarkreis,círculo polar ártico,Cercle Arctique,Circolo polare artico,北極圏,북극권,วงกลมอาร์กติก,Kuzey Kutup Dairesi,北極圈
Q654355,rebound,ارتداد (كرة السلة),Rebound,rebote,rebond,rimbalzo,リバウンド,리바운드,,Ribaund,籃板球
Q231270,Khloé Kardashian,كلوي كارداشيان,Khloé Kardashian,Khloé Kardashian,Khloé Kardashian,Khloé Kardashian,クロエ・カーダシアン,클로이 카다시안,,Khloé Kardashian,赫洛·卡戴珊
Q25207350,The Handmaid's Tale,حكاية أمة,The Handmaid’s Tale – Der Report der Magd,El cuento de la criada,The Handmaid's Tale,The Handmaid's Tale,ハンドメイズ・テイル/侍女の物語,핸드메이즈 테일,เดอะ แฮนด์เมดส์ เทล,The Handmaid's Tale,使女的故事
Q976396,Los Angeles Clippers,لوس أنجلوس كليبرز,Los Angeles Clippers,Los Angeles Clippers,Clippers de Los Angeles,Los Angeles Clippers,ロサンゼルス・クリッパーズ,로스앤젤레스 클리퍼스,,Los Angeles Clippers,洛杉矶快船
Q858082,National League,الدوري الوطني,National League,Liga Nacional,Ligue nationale,National League,ナショナルリーグ,내셔널 리그,,,國家聯盟
Q860750,racing video game,لعبة فيديو سباقات,Rennspiel,carreras,jeu vidéo de course,simulatore di guida,レースゲーム,경주 게임,,yarış oyunu,竞速游戏
Q2501650,Soulcalibur V,سول كاليبر 5,Soulcalibur V,Soulcalibur V,SoulCalibur V,Soulcalibur V,ソウルキャリバーV,,,,劍魂V
Q2918819,Tsarina,,Zarina,Zarina,tsarine,Zarina,ツァリーツァ,,ซารีนา,Çaritsa,沙皇后
Q4802838,Super Mario,سوبر ماريو,Super Mario,Super Mario,Super Mario,Super Mario,スーパーマリオシリーズ,슈퍼 마리오,,Super Mario,超级马力欧系列
Q14904358,Jedi Master,,Jedi-Meister,maestro jedi,maître Jedi,Maestro Jedi,,,,,
Q15686806,senator,عضو مجلس الشيوخ,Senator,senador,sénateur ou sénatrice,senatore,元老院議員,상원의원,,,参议员
Q18810940,Camila Cabello,كاميلا كابيو,Camila Cabello,Camila Cabello,Camila Cabello,Camila Cabello,カミラ・カベロ,카밀라 카베요,กามิลา กาเบโย,Camila Cabello,卡蜜拉·卡贝洛
Q83224,Battle of Hastings,موقعة هاستنجز,Schlacht bei Hastings,batalla de Hastings,bataille d'Hastings,battaglia di Hastings,ヘイスティングズの戦い,헤이스팅스 전투,ยุทธการที่เฮสติงส์,Hastings Muharebesi,黑斯廷斯战役
Q194318,Pirates of the Caribbean,قراصنة الكاريبي,Fluch der Karibik,Piratas del Caribe,Pirates des Caraïbes,Pirati dei Caraibi,パイレーツ・オブ・カリビアン,캐리비안의 해적,ไพเรทส์ออฟเดอะแคริบเบียน,Karayip Korsanları,加勒比海盗系列电影
Q848963,Bram Stoker Awards,جائزة برام ستوكر,Bram Stoker Award,Premios Bram Stoker,prix Bram-Stoker,premio Bram Stoker,ブラム・ストーカー賞,,,,布蘭姆·史鐸克獎
Q1072666,North,الشمال (فيلم 1994),North,Un muchacho llamado Norte,L'Irrésistible North,Genitori cercasi,ノース 小さな旅人,노스,,,浪子保鑣
Q1192794,Missile Command,,Missile Command,Missile Command,Missile Command,Missile Command,ミサイルコマンド,미사일 커맨드,,,导弹指挥官
Q1377846,save,,Save,Salvamento,Sauvetage,Salvezza,セーブ,세이브,,,救援成功
Q1752689,Battle of Nashville,معركة ناشفيل,Schlacht von Nashville,Batalla de Nashville,bataille de Nashville,battaglia di Nashville,ナッシュビルの戦い,,,Nashville Muharebesi,纳什维尔战役
Q20881580,Beverly Jenkins,بيفرلي جنكينز,Beverly Jenkins,Beverly Jenkins,Beverly Jenkins,Beverly Jenkins,,,,,
Q20899424,Def Leppard,ديف ليبارد,Def Leppard,Def Leppard,Def Leppard,Def Leppard,デフ・レパード,Def Leppard (음반),,,
Q24815,Citizen Kane,المواطن كين,Citizen Kane,Ciudadano Kane,Citizen Kane,Quarto potere,市民ケーン,시민 케인,ซิติเซน เคน,Yurttaş Kane,公民凯恩
Q40,Austria,النمسا,Österreich,Austria,Autriche,Austria,オーストリア,오스트리아,ประเทศออสเตรีย,Avusturya,奧地利
Q258,South Africa,جنوب إفريقيا,Südafrika,Sudáfrica,Afrique du Sud,Sudafrica,南アフリカ共和国,남아프리카 공화국,ประเทศแอฟริกาใต้,Güney Afrika,南非
Q524,Mount Vesuvius,جبل فيزوف,Vesuv,Vesubio,Vésuve,Vesuvio,ヴェスヴィオ,베수비오산,เขาวิซูเวียส,Vezüv Yanardağı,維蘇威火山
Q458,European Union,الاتحاد الأوروبي,Europäische Union,Unión Europea,Union européenne,Unione europea,欧州連合,유럽 연합,สหภาพยุโรป,Avrupa Birliği,歐洲聯盟
Q1400,Pennsylvania,بنسيلفانيا,Pennsylvania,Pensilvania,Pennsylvanie,Pennsylvania,ペンシルベニア州,펜실베이니아주,รัฐเพนซิลเวเนีย,Pensilvanya,宾夕法尼亚州
Q667,south,جنوب,Süden,sur,sud,sud,南,남쪽,ทิศใต้,güney,南
Q5146,Portuguese,البرتغالية,Portugiesisch,portugués,portugais,portoghese,ポルトガル語,포르투갈어,ภาษาโปรตุเกส,Portekizce,葡萄牙语
Q1523,Ramesses II,رمسيس الثاني,Ramses II.,Ramsés II,Ramsès II,Ramses II,ラムセス2世,람세스 2세,ฟาโรห์แรเมซีสที่ 2,II. Ramses,拉美西斯二世
Q1761,Dublin,دبلن,Dublin,Dublín,Dublin,Dublino,ダブリン,더블린,ดับลิน,Dublin,都柏林
Q9174,religion,دين,Religion,religión,religion,religione,宗教,종교,ศาสนา,din,宗教
Q5419,Missouri River,نهر ميزوري,Missouri,Río Misuri,rivière Missouri,Missouri,ミズーリ川,미주리강,แม่น้ำมิสซูรี,Missouri Nehri,密蘇里河
Q7296,Mount Kilimanjaro,جبل كليمنجارو,Kilimandscharo,Kilimanjaro,Kilimanjaro,Kilimangiaro,キリマンジャロ,킬리만자로산,เขาคิลิมันจาโร,Kilimanjaro Dağı,乞力马扎罗山
Q8736,Treaty of Versailles,معاهدة فرساي,Friedensvertrag von Versailles,Tratado de Versalles,traité de Versailles,trattato di Versailles,ヴェルサイユ条約,베르사유 조약,สนธิสัญญาแวร์ซาย,Versay Barış Antlaşması,凡尔赛条约
Q23397,lake,بحيرة,See,lago,lac,lago,湖,호수,ทะเลสาบ,göl,湖泊
Q33946,Czechoslovakia,تشيكوسلوفاكيا,Tschechoslowakei,Checoslovaquia,Tchécoslovaquie,Cecoslovacchia,チェコスロバキア,체코슬로바키아,ประเทศเชโกสโลวาเกีย,Çekoslovakya,捷克斯洛伐克
Q33999,actor,ممثل,Schauspieler,actor,acteur ou actrice,attore,俳優,배우,นักแสดง,oyuncu,演員
Q41176,building,مبنى,Gebäude,edificio,bâtiment,edificio,建築物,건물,อาคาร,bina,建筑物
Q43287,German Empire,الإمبراطورية الألمانية,Deutsches Kaiserreich,Imperio alemán,Empire allemand,Impero tedesco,ドイツ帝国,독일 제국,จักรวรรดิเยอรมัน,Alman İmparatorluğu,德意志帝國
Q41894,Battle of New Orleans,معركة نيو أورليانز,Schlacht von New Orleans,Batalla de Nueva Orleans,bataille de La Nouvelle-Orléans,battaglia di New Orleans,ニューオーリンズの戦い,뉴올리언스 전투,,,新奥尔良战役
Q51752,Anakin Skywalker,دارث فيدر,Anakin Skywalker,Anakin Skywalker,Anakin Skywalker,Anakin Skywalker,アナキン・スカイウォーカー,아나킨 스카이워커,อนาคิน สกายวอล์คเกอร์,Anakin Skywalker,達斯·維達
Q82674,Mary I of England,ماري الأولى ملكة إنجلترا,Maria I.,María I de Inglaterra,Marie Ire d'Angleterre,Maria I d'Inghilterra,メアリー1世,메리 1세,สมเด็จพระราชินีนาถแมรีที่ 1 แห่งอังกฤษ,I. Mary,玛丽一世
Q92640,Alice's Adventures in Wonderland,أليس في بلاد العجائب,Alice im Wunderland,Alicia en el país de las maravillas,Les Aventures d'Alice au pays des merveilles,Le avventure di Alice nel Paese delle Meraviglie,不思議の国のアリス,이상한 나라의 앨리스,อลิซท่องแดนมหัศจรรย์,Alis Harikalar Diyarında,爱丽丝梦游仙境
Q188969,B. B. King,بي بي كينغ,B. B. King,B. B. King,B. B. King,B.B. King,B.B.キング,비비 킹,บี.บี. คิง,B.B. King,B·B·金
Q224069,The Island,ذا آيلاند,Die Insel,La isla,The Island,The Island,アイランド,아일랜드,,Ada,逃出克隆岛
Q484030,Kirk Hammett,كيرك هاميت,Kirk Hammett,Kirk Hammett,Kirk Hammett,Kirk Hammett,カーク・ハメット,커크 해밋,เคิร์ก แฮมเม็ตต์,Kirk Hammett,柯克·哈米特
Q203184,First Lady,سيدة أولى,First Lady,primera dama,première dame,first lady,ファーストレディ,퍼스트 레이디,สุภาพสตรีหมายเลขหนึ่ง,First Lady,第一夫人
Q3390587,Agent J,,Agent J,Agente J,Agent J,Agente J,エージェントJ,,,,J探员
Q6585139,mystery fiction,أدب الغموض,Mystery,misterio,mystère,letteratura del mistero,ミステリ,미스터리,รหัสคดี,Gizem kurgu,悬疑小说
Q507001,Princess Peach,الأميرة بيتش,Prinzessin Peach,Princesa Peach,Princesse Peach,Principessa Peach,ピーチ,피치 공주,เจ้าหญิงพีช,Prenses Peach,桃花公主
Q622769,Man of Steel,رجل من حديد,Man of Steel,El hombre de acero,Man of Steel,L'uomo d'acciaio,マン・オブ・スティール,맨 오브 스틸,บุรุษเหล็กซูเปอร์แมน,Çelik Adam,超人：鋼鐵英雄
Q936976,Henry IV of France,هنري الرابع ملك فرنسا,Heinrich IV.,Enrique IV de Francia,Henri IV,Enrico IV di Francia,アンリ4世,앙리 4세,พระเจ้าอ็องรีที่ 4 แห่งฝรั่งเศส,IV. Henri,亨利四世
Q937827,Delilah,دليلة,Delila,Dalila,Dalila,Dalila,デリラ,데릴라,,,大利拉
Q1140140,mainland,بر رئيسي,,continental,continental,terraferma,本土,본토,,anakara,本土
Q106428,Apollo 13,أبولو 13,Apollo 13,Apolo 13,Apollo 13,Apollo 13,アポロ13,아폴로 13,,Apollo 13,阿波罗13号
Q181291,Death Eater,أكلة الموت,Todesser,mortífago,Mangemort,Mangiamorte,死喰い人,죽음을 먹는 자,ผู้เสพความตาย,Ölüm Yiyen,食死徒
Q188184,Abel Prize,جائزة أبيل,Abelpreis,Premio Abel,prix Abel,Premio Abel,アーベル賞,아벨상,รางวัลอาเบล,Abel Ödülü,阿贝尔奖
Q189505,Jaws,الفك المفترس,Der weiße Hai,Tiburón,Les Dents de la mer,Lo squalo,ジョーズ,죠스,จอว์ส,Denizin Dişleri,大白鯊
Q213841,A Series of Unfortunate Events,سلسلة من الأحداث المؤسفة,Eine Reihe betrüblicher Ereignisse,Una serie de eventos desafortunados,Les Désastreuses Aventures des orphelins Baudelaire,Una serie di sfortunati eventi,世にも不幸なできごと,불행한 사건의 연속,อยากให้เรื่องนี้ไม่มีโชคร้าย,Talihsiz Serüvenler Dizisi,波特萊爾大遇險
Q340700,axis of evil,محور الشر,Achse des Bösen,Eje del mal,axe du mal,Asse del Male,悪の枢軸,악의 축,แกนแห่งความชั่วร้าย,Şeytan ekseni,邪恶轴心
Q511643,Argentine,,Argentine,Argentine,Argentine,Argentine,,,,Argentine,阿让蒂讷
Q720235,Holden Caulfield,هولدن كولفيلد,Holden Caulfield,Holden Caulfield,Holden Caulfield,Holden Caulfield,ホールデン・コールフィールド,홀든 콜필드,,Holden Caulfield,霍爾頓·考爾菲德
Q1157237,Isle Delfino,,,Isla Delfino,Île Delfino,Isola Delfina,,,,,
Q1381289,Up in Smoke,عاليا في الدخان (فيلم),Viel Rauch um Nichts,Como humo se va,Faut trouver le joint,Up in Smoke,チーチ&チョン スモーキング作戦,,,Up in Smoke (End Title,冒烟
Q1636952,Humboldt Bay,,Humboldt Bay,Bahía de Humboldt,baie de Humboldt,Baia di Humboldt,フンボルト湾,,,Humboldt Körfezi,洪堡灣
Q1983034,Second Continental Congress,الكونغرس القاري الثاني,Zweiter Kontinentalkongress,Segundo Congreso Continental,second congrès continental,Secondo congresso continentale,第二次大陸会議,,,İkinci Kıtasal Kongre,第二屆大陸議會
Q2301607,Tha Carter,,Tha Carter,Tha Carter,Tha Carter,Tha Carter,,Tha Carter,,Tha Carter,
Q48326845,Cobra Kai,كوبرا كاي,Cobra Kai,Cobra Kai,Cobra Kai,Cobra Kai,コブラ会,코브라 카이,คอบร้า ไค,Cobra Kai,眼鏡蛇
Q3572,Tunis,تونس,Tunis,Túnez,Tunis,Tunisi,チュニス,튀니스,ตูนิส,Tunus,突尼斯市
